domain,object_type,object_name,row_count,primary_key_or_grain,key_columns,foreign_keys_or_links,relational_role,dashboard_use,notes
organization,table,orgs,329,org_id,"org_id, org_name, org_type, parent_org_id, org_path, is_active","parent_org_id -> orgs.org_id","Organization hierarchy master","Org filters, department labels, staff/fund ownership resolution","Common master migrated from org dashboard sources"
organization,table,staff,342,staff_id,"staff_id, employee_no, name, email, org_id, status, notion_id","org_id -> orgs.org_id","Staff master","Writer/manager/lead selector and staff-level dashboard grouping","Includes operational columns last_login and login_count in live DB"
organization,table,staff_org_assignments,305,assignment_id,"assignment_id, staff_id, org_id, role, is_primary, is_dual_role","staff_id -> staff.staff_id; org_id -> orgs.org_id","Staff-to-org assignment bridge","Dual-role and historical/secondary org mapping","Use when one staff member belongs to more than one org context"
organization,table,seats,419,seat_id,"seat_id, scenario, seat_code, building, floor, staff_id, org_id, x, y, w, h","staff_id -> staff.staff_id; org_id -> orgs.org_id","Seat assignment table","Seat layout dashboard and org/staff occupancy view","Unique grain is scenario plus seat_code"
organization,table,seat_layout_shapes,112,shape_id,"shape_id, floor, building, shape_type, label, x, y, w, h","floor/building -> seats context","Seat map geometry/reference shapes","Rendering non-seat shapes in seating dashboards","Not directly tied by FK in current schema"
fund_aum,table,funds,1103,fund_id,"fund_id, fund_name, short_name, status, dept, manager, dept_org_id, manager_staff_id, primary_asset_id, benchmark_aum, invested_aum, aum_status","dept_org_id -> orgs.org_id; manager_staff_id -> staff.staff_id; primary_asset_id -> asset_master.asset_id; parent_fund_id -> funds.fund_id","Fund master and AUM source","Primary fund list, AUM figures, manager/dept filters","Still the main fund ledger even after asset-centric model was added"
fund_aum,table,fund_assets,903,id,"id, fund_id, asset_name, asset_type, address, asset_id, managing_org_id","fund_id -> funds.fund_id; asset_id -> asset_master.asset_id; managing_org_id -> orgs.org_id","Legacy/source asset rows under funds","Compatibility source for older portfolio analysis and asset matching","Keep as source/snapshot table; canonical layer is asset_master"
fund_aum,table,aum_snapshots,1162,snapshot_id,"snapshot_id, fund_id, snapshot_date, snapshot_year, region, sector, aum, loan, equity, deposit","fund_id -> funds.fund_id","AUM time-series snapshot","Trend charts and period comparisons","Migrated from portfolio-analysis/current snapshot JSON"
fund_aum,table,fund_lifecycle,778,fund_id,"fund_id, op_status, setup_date, maturity_date, liquidation_date, is_aum_target, aum_base","fund_id -> funds.fund_id","Fund lifecycle/status companion","AUM target eligibility and lifecycle filtering","One row per fund lifecycle state"
asset_core,table,asset_master,1302,asset_id,"asset_id, canonical_name, asset_type, asset_kind, address_text, pnu, latitude, longitude, data_completeness, api_enrichment_status","representative_fund_id -> funds.fund_id","Canonical asset master","Central asset search, asset profile, asset-centric dashboard grain","Current DB center of gravity"
asset_core,table,asset_identifiers,1406,id,"id, asset_id, identifier_type, identifier_value, is_primary, confidence","asset_id -> asset_master.asset_id","Asset external/internal identifiers","Asset matching and dedupe support","Unique logical key is asset_id plus identifier_type plus identifier_value"
asset_core,table,asset_aliases,4215,id,"id, asset_id, alias_name, alias_type, source_table, source_id, confidence, is_primary","asset_id -> asset_master.asset_id","Asset alias/name bridge","Search normalization and source-name matching","Unique lower-case alias scoped to asset and alias_type"
asset_core,table,asset_fund_links,1151,"asset_id + fund_id + relation_type","asset_id, fund_id, relation_type, exposure_role, directness, allocation_ratio, allocation_status, include_in_asset_aum, benchmark_aum_allocated, invested_aum_allocated","asset_id -> asset_master.asset_id; fund_id -> funds.fund_id","Asset-to-fund bridge with AUM allocation","Core relation for asset-centric AUM calculation","Use this instead of summing funds directly by raw asset name"
asset_core,table,asset_project_links,879,"asset_id + project_id + relation_type","asset_id, project_id, relation_type, source_table, source_id, confidence","asset_id -> asset_master.asset_id; project_id -> projects.project_id","Asset-to-project bridge","Connects asset profiles to project/T5T context","Project_id FK was not declared in earliest SQL but behaves as project reference"
asset_core,table,asset_review_queue,5,review_id,"review_id, asset_id, review_reason, suggested_action, review_status","asset_id -> asset_master.asset_id","Manual review queue for asset normalization","Data quality queue","Small live backlog"
asset_enrichment,table,asset_building_ledger,396,asset_id,"asset_id, pnu, site_area, gross_floor_area, scr, far, main_usage, structure, floors_up, floors_down, elevators, parking, height, completion_date, raw_ledger","asset_id -> asset_master.asset_id","Building-register/API source ledger","Physical asset specification panel and enrichment audit","Representative fields are also copied onto asset_master"
asset_enrichment,table,asset_development_details,0,asset_id,"asset_id, development_project_name, planned_main_usage, planned_gross_floor_area, expected_completion_date, development_stage","asset_id -> asset_master.asset_id","Manual development-asset details","Future manual modal for development assets","Currently empty"
asset_enrichment,table,asset_manual_input_log,0,input_id,"input_id, asset_id, input_context, input_payload, input_by","asset_id -> asset_master.asset_id","Manual input audit log","Audit trail for manual asset edits","Currently empty"
fund_aum,table,fund_fund_links,0,link_id,"link_id, investor_fund_id, target_fund_id, relation_type, commitment_amount, invested_amount, ownership_ratio","investor_fund_id -> funds.fund_id; target_fund_id -> funds.fund_id","Fund-to-fund look-through bridge","FoF/portfolio vehicle look-through AUM","Currently empty"
project_t5t,table,projects,425,project_id,"project_id, notion_id, project_code, project_name, project_type, status, lead_staff_id, parent_project_id, primary_asset_id","lead_staff_id -> staff.staff_id; parent_project_id -> projects.project_id; primary_asset_id -> asset_master.asset_id","Official project master","Project filters, T5T linking, mission/project hierarchy","Review/new candidates are separated into review_projects"
project_t5t,table,project_staff_links,1942,link_id,"link_id, project_id, staff_id, notion_staff_id, role, source_system","project_id -> projects.project_id; staff_id -> staff.staff_id","Project-to-staff role bridge","Project team/member views","Many-to-many project staffing"
project_t5t,table,review_projects,67,review_project_id,"review_project_id, notion_id, source_project_id, project_name, review_status, source_status, created_by_staff_id","source_project_id -> projects.project_id; created_by_staff_id -> staff.staff_id","Review/new-project candidate table","T5T-created or Notion review candidates before promotion to official project","Prevents draft/review items from polluting official project master"
project_t5t,table,t5t_logs,3447,t5t_log_id,"t5t_log_id, notion_id, writer_staff_id, writer_name, work_date, week_key, task_type, summary, raw_text, classification_tokens","writer_staff_id -> staff.staff_id","Normalized T5T work logs","Work log dashboard and weekly summaries","Synced Notion rows and future input rows share this target"
project_t5t,table,t5t_log_project_links,754,link_id,"link_id, t5t_log_id, project_id, notion_project_id, relation_type, match_status","t5t_log_id -> t5t_logs.t5t_log_id; project_id -> projects.project_id","T5T log-to-project bridge","Project activity timeline","Separates log text from project matching"
project_t5t,table,t5t_log_stakeholders,938,stakeholder_id,"stakeholder_id, t5t_log_id, stakeholder_name, company_name, role_category, counterparty_id","t5t_log_id -> t5t_logs.t5t_log_id; counterparty_id -> counterparties.counterparty_id","T5T stakeholder extraction table","Stakeholder/counterparty mentions in work logs","Can connect work context to counterparty master"
project_t5t,table,t5t_input_drafts,0,draft_id,"draft_id, writer_staff_id, work_date, task_type, summary, selected_project_ids, selected_fund_ids, input_status","writer_staff_id -> staff.staff_id; selected_project_ids -> projects.project_id array; selected_fund_ids -> funds.fund_id array","Draft/staging table for direct T5T input","Future browser input draft persistence","Currently empty in live DB"
project_t5t,table,t5t_form_submissions,972,submission_id,"submission_id, respondent_id, submitted_at, writer_staff_id, writer_name, writer_email, work_date, source_file","writer_staff_id -> staff.staff_id","Raw T5T form submission header","Import audit and respondent-level grouping","Parent table for split T5T-1 through T5T-5 items"
project_t5t,table,t5t_form_items,4802,form_item_id,"form_item_id, submission_id, item_no, writer_staff_id, work_date, raw_text, project_text, matched_project_id, matched_review_project_id, matched_fund_id, task_type, classification_tokens","submission_id -> t5t_form_submissions.submission_id; writer_staff_id -> staff.staff_id; matched_project_id -> projects.project_id; matched_review_project_id -> review_projects.review_project_id; matched_fund_id -> funds.fund_id","Raw item-level T5T form rows with matching/classification","T5T matching QA, project/fund linkage, classification review","Important bridge between raw form text and normalized projects/funds"
iota,table,iota_seoul_master_data,102,record_id,"record_id, proj_id, ws_code, classification, item_name, content, fund_id","fund_id -> funds.fund_id; proj_id -> projects/project code context","IOTA Seoul pilot workspace master/status data","Pilot project status and reference data","Kept in public schema for browser Supabase JS access"
iota,table,iota_seoul_logs,65,log_id,"log_id, writer_staff_id, writer_name, work_date, raw_text, summary, input_status","writer_staff_id -> staff.staff_id","IOTA direct input logs","Pilot activity log","Long-term merge target may be t5t_logs"
iota,table,iota_seoul_log_links,66,link_id,"link_id, log_id, proj_id, relation_type, asset_id","log_id -> iota_seoul_logs.log_id; asset_id -> asset_master.asset_id","IOTA log-to-project/asset bridge","Asset-related IOTA timeline","proj_id currently links by pilot project code"
iota,table,iota_seoul_log_stakeholders,0,sh_id,"sh_id, log_id, sh_name, role_category","log_id -> iota_seoul_logs.log_id","IOTA stakeholder extraction table","Future stakeholder panel for IOTA logs","Currently empty"
counterparty_risk,table,counterparties,563,counterparty_id,"counterparty_id, name, category, metadata","referenced by lender_exposures, beneficiary_exposures, t5t_log_stakeholders","Counterparty master","Counterparty search and normalized lender/beneficiary/stakeholder labels","Common master for exposure and log stakeholders"
counterparty_risk,table,lender_exposures,670,id,"id, fund_id, lender_raw, lender_clean, committed_amt, drawn_amt, remaining_amt, loan_maturity_date, counterparty_id, asset_id","fund_id -> funds.fund_id; counterparty_id -> counterparties.counterparty_id; asset_id -> asset_master.asset_id","Lender exposure rows","Fund/asset debt exposure and lender analytics","Asset_id is denormalized convenience FK"
counterparty_risk,table,beneficiary_exposures,1118,id,"id, fund_id, beneficiary_raw, beneficiary_clean, beneficiary_type, committed_amt, invested_amt, remaining_amt, share_ratio, counterparty_id, asset_id","fund_id -> funds.fund_id; counterparty_id -> counterparties.counterparty_id; asset_id -> asset_master.asset_id","Beneficiary/investor exposure rows","Fund/asset investor exposure analytics","Asset_id is denormalized convenience FK"
counterparty_risk,table,risk_management_points,65,id,"id, fund_id, project_name, base_date, risk_index, overall_rating, land_rating, permit_rating, constructor_rating, progress_rating, asset_id","fund_id -> funds.fund_id; asset_id -> asset_master.asset_id","Risk-management point extraction table","Risk dashboard by fund/project/asset","Extracted from periodic risk reports"
dashboard_view,view,asset_fund_aum_inputs,1151,"one row per asset-fund link included in AUM","asset_id, canonical_name, fund_id, fund_name, relation_type, exposure_role, allocation_status, benchmark_aum_effective, invested_aum_effective","asset_fund_links + asset_master + funds","Relation-level AUM calculation view","Preferred source for asset-centric AUM detail","REST exposed and populated"
dashboard_view,view,asset_aum_summary,620,asset_id,"asset_id, canonical_name, asset_kind, asset_type, fund_count, benchmark_aum, invested_aum, equity_won, loan_won, deposit_won","aggregates asset_fund_aum_inputs","Asset-level AUM summary view","Main asset dashboard summary table/cards","Only includes assets with AUM input rows"
dashboard_view,view,fund_lookthrough_asset_aum,0,"one row per fund-to-fund-to-asset look-through","investor_fund_id, target_fund_id, asset_id, benchmark_aum_lookthrough, invested_aum_lookthrough","fund_fund_links + funds + asset_fund_aum_inputs","Look-through AUM view","Future FoF/portfolio look-through analytics","Currently empty because fund_fund_links is empty"
dashboard_view,view,iota_asset_log_relationships,66,log_id/link,"log_id, work_date, writer_name, summary, proj_id, asset_id, canonical_name, pnu","iota_seoul_log_links + iota_seoul_logs + asset_master","IOTA asset-log relationship view","Asset activity timeline for IOTA pilot","REST exposed and populated"
dashboard_view,view,asset_exposure_summary,1302,asset_id,"asset_id, canonical_name, lender_committed_amt, lender_drawn_amt, beneficiary_committed_amt, beneficiary_invested_amt","asset_master + lender_exposures + beneficiary_exposures","Asset-level exposure summary view","Exposure panel by canonical asset","REST exposed and populated"
dashboard_view,view,v_funds_enriched,1103,fund_id,"all funds columns plus dept_resolved, manager_resolved","funds + orgs + staff","Backward-compatible enriched fund view","Dashboard compatibility layer for dept/manager labels","Use when old UI expects text labels"
dashboard_view,view,fund_asset_summary,0,fund_id,"fund_id, fund_name, asset_ids, asset_names, linked_asset_count","funds + asset_fund_links + asset_master","Designed multi-asset fund summary view","Would support 1-2 multi-asset vehicle display","SQL exists locally but live REST returned 404; likely not applied or not exposed"
