fund_id,fund_name,benchmark_aum_source,invested_aum_source,lender_committed_source_sum,beneficiary_committed_source_sum,beneficiary_invested_source_sum,flags,review_note
112235,스카이로지스사모부동산투자회사(운용),80089240000,80089240000,205000000000,78700000000,78700000000,lender_committed_gt_125pct_benchmark_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112380,이지스기회추구일반사모부동산자투자신탁제2호(운용),0,0,0,137700000000,102030528641,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112411,이지스글로벌리츠섹터포커스SMA일반사모부동산투자신탁1호,241264000000,3501274527,0,142548000000,48589090182,beneficiary_invested_gt_125pct_invested_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112425,이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형),7774876440,7774876440,0,20684455073,20684455073,beneficiary_committed_gt_125pct_benchmark_aum | beneficiary_invested_gt_125pct_invested_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112445,이지스리빙플랫폼일반사모부동산자투자신탁제1호(운용),0,0,0,51500000000,51500000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112471,이지스기회추구전문투자형사모부동산자투자신탁제2-2-1호(운용),0,0,0,51269471360,51269471360,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112493,이지스일반사모부동산투자신탁제390호,160300000000,60326992713,0,160300000000,160300000000,beneficiary_invested_gt_125pct_invested_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112579,이지스제420호전문투자형사모부동산투자회사(운용),41704022000,41704022000,381000000000,41704022000,41704022000,lender_committed_gt_125pct_benchmark_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112623,이지스미국일반사모부동산투자신탁448-3호,0,0,0,90657000000,85969157657,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112624,이지스미국일반사모부동산투자신탁448-4호,0,0,0,38853000000,37910548831,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112626,이지스투자풀부동산일반사모부동산투자신탁11호,2326453752,2326453752,0,17085539482,17085539482,beneficiary_committed_gt_125pct_benchmark_aum | beneficiary_invested_gt_125pct_invested_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112629,이지스리츠플랫폼일반사모부동산투자신탁,7831773309,7831773309,0,13000000000,13000000000,beneficiary_committed_gt_125pct_benchmark_aum | beneficiary_invested_gt_125pct_invested_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112687,이지스울산신항인프라일반사모투자신탁(운용),88200000000,21879832420,0,88200000000,30550609096,beneficiary_invested_gt_125pct_invested_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112721,이지스장기지분형일반사모부동산자투자신탁제1-1호(운용),0,0,0,120000000000,120000000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112745,이지스일반사모부동산자투자신탁제501호(운용),0,0,0,205100000000,62100000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
112785,이지스일반사모부동산자투자신탁제482호(운용),0,0,0,31000000000,31000000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
120001,이지스일반사모부동산자투자신탁제517의1호,0,0,0,64000000000,62000000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
120028,이지스인컴앤그로스제2의4의4호일반사모부동산자투자회사,0,0,0,46700000000,46700000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
190005,이지스제542호부동산일반사모투자회사,67800000000,70814786000,85000000000,0,0,lender_committed_gt_125pct_benchmark_aum,Relationship check only; not an automatic error because AUM and exposure are different concepts.
190010,이지스일반사모부동산투자회사제426의1호,0,0,0,38000000000,38000000000,exposure_exists_but_benchmark_aum_zero,Relationship check only; not an automatic error because AUM and exposure are different concepts.
