domain,severity,issue_type,fund_id,asset_id,asset_code,field,source_column,csv_column,source_value,csv_value,difference,source_asset_name,csv_asset_name,csv_asset_candidates_for_fund,relation_type,match_method,api_enrichment_status,building_ledger_source,interpretation
fund_master,info,source_fund_not_in_denorm_csv,112002,,,,,,피에스KORIF사모부동산투자신탁8호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112003,,,,,,피에스KORIF사모부동산투자신탁2호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112006,,,,,,이지스일반사모부동산투자신탁7호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112013,,,,,,이지스KORIF사모부동산자투자신탁18B호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112014,,,,,,이지스KORIF사모부동산모투자신탁18-2호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112015,,,,,,이지스일반사모부동산자투자신탁18A호(운용),,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112016,,,,,,이지스일반사모부동산모투자신탁18-1호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112017,,,,,,이지스KORIF일반사모부동산투자신탁10호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112024,,,,,,이지스일반사모부동산투자신탁25호(운용),,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112027,,,,,,이지스타이탄사모부동산투자신탁23호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112028,,,,,,이지스사모부동산투자신탁24호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112029,,,,,,이지스엔지제28호사모부동산투자유한회사,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112031,,,,,,이지스사모부동산투자신탁31호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
fund_master,info,source_fund_not_in_denorm_csv,112038,,,,,,이지스사모부동산투자신탁35호,,,,,,,,,,"The denormalized CSV grain is asset_fund_links, so funds without linked assets are expected to be absent."
